#ID	Class	Mean	Median	stdev	Predicted_0.48
AT1G01020	0	0.3780420809935147	0.3780420809935147	0.022875230489854837	0
AT1G01450	0	0.5741290948385713	0.5741290948385713	0.09916555929565442	1
AT1G01510	0	0.4220375357320718	0.4220375357320718	0.033949750005791896	0
AT1G01530	0	0.2693742373619058	0.2693742373619058	0.02798597477296913	0
AT1G01570	1	0.4970297343746062	0.4970297343746062	0.10496182388745612	1
AT1G01590	0	0.49697761204752666	0.49697761204752666	0.0031705462690063513	1
AT1G01695	0	0.6465377048012506	0.6465377048012506	0.11258705778802791	1
AT1G02010	0	0.3626938247906417	0.3626938247906417	0.04287712810518707	0
AT1G02065	0	0.5769865784087452	0.5769865784087452	0.06029011121643874	1
AT1G02080	0	0.5264688161996316	0.5264688161996316	0.11984102066307453	1
AT1G02210	0	0.5221036707877087	0.5221036707877087	0.09365115084344024	1
AT1G02560	0	0.6303612292545208	0.6303612292545208	0.03074870956960234	1
AT1G02570	0	0.5164348138697705	0.5164348138697705	0.05010804737182074	1
AT1G02590	1	0.43295445110564873	0.43295445110564873	0.0044976998082588695	0
AT1G02650	0	0.4844793524993089	0.4844793524993089	0.08027551576230545	1
AT1G02780	0	0.35522082050076376	0.35522082050076376	0.06740570154898634	0
AT1G02880	0	0.3610131522605239	0.3610131522605239	0.053773842547753074	0
AT1G02990	0	0.622388962025928	0.622388962025928	0.03165352064495324	1
AT1G03120	0	0.7469035207522299	0.7469035207522299	0.02032451994965671	1
AT1G03240	0	0.5612877272794705	0.5612877272794705	0.030148990576000383	1
AT1G03320	0	0.5773397942465783	0.5773397942465783	0.01949341540790453	1
AT1G03365	0	0.574300777825971	0.574300777825971	0.03432745167757348	1
AT1G03390	0	0.5028485488797202	0.5028485488797202	0.03131072198523053	1
AT1G03720	0	0.5442141807038341	0.5442141807038341	0.08068022279240429	1
AT1G03840	0	0.46927992261800944	0.46927992261800944	0.00686876058736313	0
AT1G03880	0	0.48277694386601	0.48277694386601	0.07362202155581013	1
AT1G03890	0	0.3890818788490843	0.3890818788490843	0.012150427242219803	0
AT1G03910	0	0.4108184743954093	0.4108184743954093	0.010552324544540354	0
AT1G03920	0	0.448480416560197	0.448480416560197	0.03694485589711689	0
AT1G03980	0	0.4331973254476462	0.4331973254476462	0.016102846347794367	0
AT1G04050	0	0.45935136456721437	0.45935136456721437	0.018781927607960883	0
AT1G04090	0	0.4847340706503849	0.4847340706503849	0.018767619156247167	1
AT1G04150	0	0.6132410268526395	0.6132410268526395	0.055827662354535276	1
AT1G04210	0	0.509092501166743	0.509092501166743	0.03641332452593189	1
AT1G04220	1	0.6536765614142708	0.6536765614142708	0.023985516707194815	1
AT1G04230	0	0.2590445801420078	0.2590445801420078	0.0389645490660327	0
AT1G04330	0	0.31132929124728465	0.31132929124728465	0.057613037999091246	0
AT1G04380	0	0.3466681289485335	0.3466681289485335	0.002972337910117834	0
AT1G04510	0	0.2835463918735095	0.2835463918735095	0.0074985309647556085	0
AT1G04555	0	0.5401400963283652	0.5401400963283652	0.026076828209558686	1
AT1G04570	1	0.45051525144612903	0.45051525144612903	0.014011802258519418	0
AT1G04580	0	0.5052088527335108	0.5052088527335108	0.03956858993045212	1
AT1G04610	0	0.5888516092948839	0.5888516092948839	0.08996185281595695	1
AT1G04950	0	0.3758375850804393	0.3758375850804393	0.024056437895599792	0
AT1G05040	0	0.5079206574356409	0.5079206574356409	0.030696654713956023	1
AT1G05090	0	0.4273400099282706	0.4273400099282706	0.034165381621394195	0
AT1G05160	0	0.5477381987152815	0.5477381987152815	0.06662212319112677	1
AT1G05370	0	0.3549871595289022	0.3549871595289022	0.003056805001410941	0
